Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,177.68,181.58,177.55,181.42,18151900,0,0
2018-01-03,181.88,184.78,181.33,184.67,16886600,0,0
2018-01-04,184.9,186.21,184.1,184.33,13880900,0,0
2018-01-05,185.59,186.9,184.93,186.85,13574500,0,0
2018-01-08,187.2,188.9,186.33,188.28,17994700,0,0
2018-01-09,188.7,188.8,187.1,187.87,12393100,0,0
2018-01-10,186.94,187.89,185.63,187.84,10529900,0,0
2018-01-11,188.4,188.4,187.38,187.77,9588600,0,0
2018-01-12,178.06,181.48,177.4,179.37,77551300,0,0
2018-01-16,181.5,181.75,178.04,178.39,36183800,0,0
2018-01-17,179.26,179.32,175.8,177.6,27992400,0,0
2018-01-18,178.13,180.98,177.08,179.8,23304900,0,0
2018-01-19,180.85,182.37,180.17,181.29,26826500,0,0
2018-01-22,180.8,185.39,180.41,185.37,21059500,0,0
2018-01-23,186.05,189.55,185.55,189.35,25678800,0,0
2018-01-24,189.89,190.66,186.52,186.55,24334500,0,0
2018-01-25,187.95,188.62,186.6,187.48,17377700,0,0
2018-01-26,187.75,190.0,186.81,190.0,17759200,0,0
2018-01-29,188.75,188.84,185.63,185.98,20453200,0,0
2018-01-30,187.62,188.18,181.84,187.12,20858600,0,0
2018-01-31,188.37,189.83,185.22,186.89,43275100,0,0
2018-02-01,188.22,195.32,187.89,193.09,54211300,0,0
2018-02-02,192.04,194.21,189.98,190.28,26677500,0,0
2018-02-05,186.93,190.61,180.61,181.26,33128200,0,0
2018-02-06,178.57,185.77,177.74,185.31,37758500,0,0
2018-02-07,184.15,185.08,179.95,180.18,27601900,0,0
2018-02-08,181.01,181.84,171.48,171.58,38478300,0,0
2018-02-09,174.76,176.9,167.18,176.11,39887600,0,0
2018-02-12,177.06,177.55,171.84,176.41,32092100,0,0
2018-02-13,175.62,175.97,173.1,173.15,21809400,0,0
2018-02-14,173.45,179.81,173.21,179.52,28929700,0,0
2018-02-15,180.5,180.5,176.84,179.96,20922100,0,0
2018-02-16,178.99,179.88,176.3,177.36,20645300,0,0
2018-02-20,175.77,177.95,175.11,176.01,21204900,0,0
2018-02-21,176.71,181.27,176.4,177.91,23200800,0,0
2018-02-22,178.7,180.21,177.41,178.99,18464200,0,0
2018-02-23,179.9,183.39,179.51,183.29,19007300,0,0
2018-02-26,184.58,185.66,183.22,184.93,17599700,0,0
2018-02-27,184.45,184.7,181.46,181.46,15849800,0,0
2018-02-28,182.3,182.88,178.14,178.32,18783000,0,0
2018-03-01,179.01,180.12,174.41,175.94,23201600,0,0
2018-03-02,173.29,177.11,172.99,176.62,20025900,0,0
2018-03-05,176.2,181.15,175.89,180.4,16189300,0,0
2018-03-06,181.78,182.38,179.11,179.78,15086800,0,0
2018-03-07,178.74,183.82,178.07,183.71,19097300,0,0
2018-03-08,183.56,184.4,181.45,182.34,17225900,0,0
2018-03-09,183.91,185.51,183.21,185.23,18526300,0,0
2018-03-12,185.23,186.1,184.22,184.76,15301200,0,0
2018-03-13,185.61,185.99,181.11,181.88,18067500,0,0
2018-03-14,182.6,184.25,181.85,184.19,16821700,0,0
2018-03-15,183.24,184.0,182.19,183.86,15614300,0,0
2018-03-16,184.49,185.33,183.41,185.09,24403400,0,0
2018-03-19,177.01,177.17,170.06,172.56,88140100,0,0
2018-03-20,167.47,170.2,161.95,168.15,129851800,0,0
2018-03-21,164.8,173.4,163.3,169.39,106598800,0,0
2018-03-22,166.13,170.27,163.72,164.89,73743000,0,0
2018-03-23,165.44,166.6,159.02,159.39,53609700,0,0
2018-03-26,160.82,161.1,149.02,160.06,126116600,0,0
2018-03-27,156.31,162.85,150.75,152.22,79117000,0,0
2018-03-28,151.65,155.88,150.8,153.03,60029200,0,0
2018-03-29,155.15,161.42,154.14,159.79,59434300,0,0
2018-04-02,157.81,159.2,154.11,155.39,36796000,0,0
2018-04-03,156.55,157.39,150.81,156.11,42543900,0,0
2018-04-04,152.03,155.56,150.51,155.1,49885600,0,0
2018-04-05,161.56,161.57,156.65,159.34,41449600,0,0
2018-04-06,157.73,161.42,156.81,157.2,41644800,0,0
2018-04-09,157.82,160.53,156.04,157.93,34915200,0,0
2018-04-10,157.93,165.98,157.01,165.04,57889300,0,0
2018-04-11,165.36,168.65,163.25,166.32,56144600,0,0
2018-04-12,166.98,167.45,163.1,163.87,38263000,0,0
2018-04-13,164.58,165.7,163.77,164.52,19990600,0,0
2018-04-16,165.72,165.78,163.39,164.83,18119400,0,0
2018-04-17,165.83,169.0,165.66,168.66,22743000,0,0
2018-04-18,166.88,168.12,165.77,166.36,20969600,0,0
2018-04-19,166.2,168.33,165.2,168.1,22235000,0,0
2018-04-20,167.79,168.43,165.81,166.28,19119400,0,0
2018-04-23,167.27,168.45,165.09,165.84,23088100,0,0
2018-04-24,165.43,166.1,158.19,159.69,35079900,0,0
2018-04-25,160.14,161.06,156.19,159.69,41083600,0,0
2018-04-26,173.22,176.27,170.8,174.16,77556900,0,0
2018-04-27,176.81,177.1,172.6,173.59,29804700,0,0
2018-04-30,173.79,175.72,171.71,172.0,20750500,0,0
2018-05-01,172.0,174.02,170.23,173.86,26025900,0,0
2018-05-02,174.25,178.08,174.2,176.07,30424500,0,0
2018-05-03,175.13,176.12,172.12,174.02,24026100,0,0
2018-05-04,173.08,176.98,173.06,176.61,17677800,0,0
2018-05-07,177.35,179.5,177.17,177.97,18697200,0,0
2018-05-08,178.25,179.04,177.11,178.92,15577200,0,0
2018-05-09,179.67,183.01,178.78,182.66,23282800,0,0
2018-05-10,183.15,186.13,182.5,185.53,21071400,0,0
2018-05-11,184.85,188.32,184.18,186.99,21207800,0,0
2018-05-14,187.71,187.86,186.2,186.64,15646700,0,0
2018-05-15,184.88,185.29,183.2,184.32,15429400,0,0
2018-05-16,183.7,184.32,182.66,183.2,16975500,0,0
2018-05-17,182.68,184.06,182.22,183.76,14840700,0,0
2018-05-18,183.49,184.19,182.61,182.68,13130500,0,0
2018-05-21,183.77,185.3,183.13,184.49,13532900,0,0
2018-05-22,184.93,185.42,183.43,183.8,12731400,0,0
2018-05-23,182.5,186.91,182.18,186.9,16628100,0,0
2018-05-24,185.88,186.8,185.03,185.93,12354700,0,0
2018-05-25,186.02,186.33,184.45,184.92,10965100,0,0
2018-05-29,184.34,186.81,183.71,185.74,16398900,0,0
2018-05-30,186.54,188.0,185.25,187.67,13736900,0,0
2018-05-31,187.87,192.72,187.48,191.78,30782600,0,0
2018-06-01,193.07,194.55,192.07,193.99,17307200,0,0
2018-06-04,191.84,193.98,191.47,193.28,18939800,0,0
2018-06-05,194.3,195.0,192.62,192.94,15544300,0,0
2018-06-06,191.03,192.53,189.11,191.34,22558900,0,0
2018-06-07,190.75,190.97,186.77,188.18,21503200,0,0
2018-06-08,187.53,189.48,186.43,189.1,12677100,0,0
2018-06-11,188.81,192.6,188.8,191.54,12928900,0,0
2018-06-12,192.17,193.28,191.56,192.4,11562700,0,0
2018-06-13,192.74,194.5,191.91,192.41,15853800,0,0
2018-06-14,193.1,197.28,192.91,196.81,19120900,0,0
2018-06-15,195.79,197.07,194.64,195.85,21860900,0,0
2018-06-18,194.8,199.58,194.13,198.31,16826000,0,0
2018-06-19,196.24,197.96,193.79,197.49,19994000,0,0
2018-06-20,199.1,203.55,198.81,202.0,28230900,0,0
2018-06-21,202.76,203.39,200.09,201.5,19045700,0,0
