Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,41.01,41.52,40.79,41.51,102223600.0,0.0,0.0
2018-01-03,41.58,42.07,41.44,41.51,118071600.0,0.0,0.0
2018-01-04,41.58,41.81,41.47,41.7,89738400.0,0.0,0.0
2018-01-05,41.8,42.26,41.7,42.17,94640000.0,0.0,0.0
2018-01-08,42.02,42.32,41.92,42.02,82271200.0,0.0,0.0
2018-01-09,42.07,42.19,41.79,42.01,86336000.0,0.0,0.0
2018-01-10,41.73,42.01,41.69,42.0,95839600.0,0.0,0.0
2018-01-11,42.08,42.29,42.05,42.24,74670800.0,0.0,0.0
2018-01-12,42.46,42.74,42.33,42.68,101672400.0,0.0,0.0
2018-01-16,42.87,43.23,42.45,42.46,118263600.0,0.0,0.0
2018-01-17,42.45,43.2,42.19,43.16,137547200.0,0.0,0.0
2018-01-18,43.23,43.4,42.96,43.2,124773600.0,0.0,0.0
2018-01-19,43.04,43.28,42.75,43.01,129700400.0,0.0,0.0
2018-01-22,42.73,42.84,42.56,42.66,108434400.0,0.0,0.0
2018-01-23,42.73,43.24,42.61,42.67,130756400.0,0.0,0.0
2018-01-24,42.72,42.73,41.74,41.99,204420400.0,0.0,0.0
2018-01-25,42.06,42.16,41.1,41.24,166116000.0,0.0,0.0
2018-01-26,41.45,41.45,40.98,41.33,156572000.0,0.0,0.0
2018-01-29,41.01,41.01,40.26,40.48,202561600.0,0.0,0.0
2018-01-30,39.89,40.34,39.69,40.24,184192800.0,0.0,0.0
2018-01-31,40.21,40.59,40.13,40.35,129915600.0,0.0,0.0
2018-02-01,40.29,40.64,40.19,40.43,188923200.0,0.0,0.0
2018-02-02,40.0,40.2,38.58,38.68,346375200.0,0.0,0.0
2018-02-05,38.34,39.49,37.6,37.71,290954000.0,0.0,0.0
2018-02-06,37.31,39.46,37.11,39.29,272975200.0,0.0,0.0
2018-02-07,39.3,39.38,38.33,38.45,206434400.0,0.0,0.0
2018-02-08,38.63,38.8,37.36,37.39,217562000.0,0.0,0.0
2018-02-09,38.01,38.21,36.35,37.85,282690400.0,0.1575,0.0
2018-02-12,38.35,39.66,38.11,39.37,243278000.0,0.0,0.0
2018-02-13,39.19,39.87,39.12,39.77,130196800.0,0.0,0.0
2018-02-14,39.45,40.54,39.41,40.5,162579600.0,0.0,0.0
2018-02-15,41.09,41.88,40.89,41.86,204588800.0,0.0,0.0
2018-02-16,41.71,42.3,41.56,41.72,160704400.0,0.0,0.0
2018-02-20,41.63,42.17,41.48,41.58,135722000.0,0.0,0.0
2018-02-21,41.82,42.13,41.38,41.39,149886400.0,0.0,0.0
2018-02-22,41.57,42.09,41.55,41.74,123967600.0,0.0,0.0
2018-02-23,42.02,42.5,41.99,42.47,135249600.0,0.0,0.0
2018-02-26,42.67,43.41,42.64,43.31,152648800.0,0.0,0.0
2018-02-27,43.34,43.67,43.11,43.17,155712400.0,0.0,0.0
2018-02-28,43.38,43.71,43.08,43.1,151128400.0,0.0,0.0
2018-03-01,43.2,43.5,41.78,42.35,195208000.0,0.0,0.0
2018-03-02,41.81,42.66,41.73,42.64,153816000.0,0.0,0.0
2018-03-05,42.4,43.01,42.23,42.79,113605600.0,0.0,0.0
2018-03-06,43.05,43.13,42.62,42.75,95154000.0,0.0,0.0
2018-03-07,42.33,42.55,42.17,42.35,126814000.0,0.0,0.0
2018-03-08,42.46,42.86,42.36,42.82,95096400.0,0.0,0.0
2018-03-09,43.06,43.56,42.92,43.55,128740800.0,0.0,0.0
2018-03-12,43.63,44.13,43.61,43.97,128828400.0,0.0,0.0
2018-03-13,44.18,44.4,43.37,43.55,126774000.0,0.0,0.0
2018-03-14,43.63,43.68,43.03,43.18,117473600.0,0.0,0.0
2018-03-15,43.19,43.61,43.09,43.23,90975200.0,0.0,0.0
2018-03-16,43.23,43.34,42.98,43.08,157618800.0,0.0,0.0
2018-03-19,42.91,42.94,42.02,42.42,133787200.0,0.0,0.0
2018-03-20,42.4,42.78,42.33,42.4,78597600.0,0.0,0.0
2018-03-21,42.36,42.37,41.44,41.44,148219600.0,0.0,0.0
2018-03-22,41.14,41.78,40.8,40.86,165963200.0,0.0,0.0
2018-03-23,40.75,41.12,39.91,39.91,164115200.0,0.0,0.0
