Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-01-02,312.0,322.11,311.0,320.53,4352200,0,0
2018-01-03,321.0,325.25,315.55,317.25,4521500,0,0
2018-01-04,312.87,318.55,305.68,314.62,9946300,0,0
2018-01-05,316.62,317.24,312.0,316.58,4591200,0,0
2018-01-08,316.0,337.02,315.5,336.41,9859400,0,0
2018-01-09,335.16,338.8,327.4,333.69,7146600,0,0
2018-01-10,332.2,337.0,330.0,334.8,4309900,0,0
2018-01-11,335.24,344.81,333.26,337.95,6645500,0,0
2018-01-12,338.63,340.41,333.67,336.22,4825100,0,0
2018-01-16,337.54,345.0,334.8,340.06,6474300,0,0
2018-01-17,340.47,349.0,339.75,347.16,7103500,0,0
2018-01-18,345.67,352.3,343.74,344.57,5685800,0,0
2018-01-19,345.0,350.59,342.6,350.02,4888300,0,0
2018-01-22,349.4,357.83,349.2,351.56,6210400,0,0
2018-01-23,360.0,360.5,351.0,352.79,5465400,0,0
2018-01-24,354.58,354.75,343.52,345.89,5287500,0,0
2018-01-25,348.27,349.2,336.4,337.64,6740300,0,0
2018-01-26,341.5,344.0,335.71,342.85,4539400,0,0
2018-01-29,339.85,350.85,338.28,349.53,4747100,0,0
2018-01-30,345.14,348.27,342.17,345.82,4717700,0,0
2018-01-31,347.51,356.19,345.19,354.31,6214100,0,0
2018-02-01,351.0,359.66,348.63,349.25,4197700,0,0
2018-02-02,348.44,351.95,340.51,343.75,3704800,0,0
2018-02-05,337.97,344.47,333.0,333.13,4464100,0,0
2018-02-06,325.21,336.22,323.5,333.97,5088400,0,0
2018-02-07,338.99,346.0,335.66,345.0,6969200,0,0
2018-02-08,343.31,348.62,314.6,315.23,10314600,0,0
2018-02-09,319.93,320.98,294.76,310.42,12933700,0,0
2018-02-12,316.13,318.08,306.25,315.73,6227800,0,0
2018-02-13,315.02,324.19,312.51,323.66,4560200,0,0
2018-02-14,320.84,326.17,318.52,322.31,3950700,0,0
2018-02-15,324.5,334.12,322.4,334.07,5912900,0,0
2018-02-16,332.5,343.12,331.64,335.49,5642600,0,0
2018-02-20,334.47,340.84,331.5,334.77,4009400,0,0
2018-02-21,336.03,339.69,333.17,333.3,3219600,0,0
